Customer No.,Exposure at Default (in lakh Rs.),Recovery (%),Probability of Default,
1,11.5,20.00%,0.007,0.0644
2,0.24,5.10%,0.0033,0.000751608
3,0.04,24.86%,0.0022,6.61232E-05
4,13.81,2.29%,0.0066,0.089058757
5,19.84,3.47%,0.002,0.038303104
6,20.61,20.84%,0.0002,0.003262975
7,24.9,34.91%,0.0089,0.144245949
8,18.76,36.44%,0.0059,0.07035075
9,10.23,39.59%,0.0026,0.016067852
10,19.55,25.11%,0.0008,0.011712796
11,1.14,33.29%,0,0
12,6.4,37.34%,0.0034,0.013634816
13,21.45,37.22%,0.0072,0.096957432
14,8.17,12.91%,0.005,0.035576265
15,15.73,14.68%,0.0056,0.075156682
16,8.73,37.14%,0.0059,0.0323773
17,24.02,39.85%,0.0029,0.041899287
18,11.92,26.54%,0.0064,0.056041165
19,15.78,16.66%,0.0041,0.053919313
20,0.04,10.34%,0.0043,0.000154215
21,24.73,15.51%,0.0046,0.096114134
22,7.49,16.67%,0.0004,0.002496567
23,20.15,9.45%,0.0041,0.074807883
24,2.92,26.40%,0.0041,0.008811392
25,0.3,32.34%,0.0039,0.000791622
26,1.95,12.78%,0.0016,0.002721264
27,10.57,28.81%,0.0063,0.047406133
28,19.41,30.77%,0.0099,0.133031676
29,16.09,22.67%,0.0022,0.027373273
30,5.65,32.08%,0.0067,0.025711116
31,1.13,8.87%,0.0068,0.007002429
32,17.07,27.81%,0.0089,0.109673214
33,2.93,3.48%,0.0041,0.011594948
34,21.87,30.66%,0.0045,0.068240961
35,18.92,31.15%,0.0007,0.009118494
36,22.8,23.28%,0.0048,0.083962368
37,10.8,19.95%,0.0042,0.03631068
38,24.74,13.13%,0.0037,0.079519061
39,6.76,15.65%,0.0074,0.042195244
40,6.51,16.35%,0.0004,0.002178246
41,24.33,33.94%,0.0036,0.057860633
42,21.01,19.86%,0.0078,0.131331829
43,13.57,17.00%,0.0079,0.08897849
44,8.97,37.63%,0.0023,0.012867555
45,3.15,16.53%,0.003,0.007887915
46,13.56,22.41%,0.0053,0.055762381
47,10.71,22.36%,0.0094,0.078163294
48,22.29,35.08%,0.0053,0.07669454
49,4.64,32.95%,0.0034,0.010577808
50,17.47,4.95%,0.0011,0.018265759
51,2.72,33.41%,0.0049,0.008875115
52,16.88,25.82%,0.0068,0.085146771
53,14.49,15.06%,0.0026,0.032000296
54,24.87,24.81%,0.0092,0.172037728
55,0.07,38.55%,0.0053,0.00022798
56,10.16,0.63%,0.0096,0.096921523
57,21.21,16.14%,0.0082,0.145850989
58,18.04,31.02%,0.0095,0.118217924
59,2.16,26.35%,0.0046,0.007317864
60,2.16,13.67%,0.0065,0.012120732
61,8.76,30.03%,0.0093,0.05700316
62,14.57,28.67%,0.005,0.051963905
63,14.9,10.44%,0.0076,0.101417744
64,4.56,37.78%,0.0075,0.02127924
65,2.28,21.66%,0.0004,0.000714461
66,13.69,26.56%,0.0061,0.06132901
67,20.74,5.91%,0.0061,0.119037023
68,7.14,15.40%,0.0032,0.019329408
69,22.9,26.81%,0.0071,0.118999621
70,20.82,1.78%,0.005,0.10224702
71,14.48,14.52%,0.0015,0.018566256
72,6.49,38.49%,0.0082,0.032734392
73,9.03,36.63%,0.0088,0.050356337
74,4.75,0.27%,0.01,0.04737175
75,4.02,33.34%,0.008,0.021437856
76,23.17,35.19%,0.0048,0.07207909
77,17.36,20.99%,0.0021,0.028803886
78,6.49,12.11%,0.0075,0.042780458
79,12.87,2.07%,0.0047,0.059236878
80,1.79,22.74%,0.0091,0.012584881
81,16.23,17.00%,0.0074,0.09968466
82,15.42,22.36%,0.0097,0.116129254
83,22.33,30.80%,0.0079,0.122073644
84,16.54,34.78%,0.0007,0.007551172
85,1.32,0.60%,0.0033,0.004329864
86,1.45,37.05%,0.0066,0.006024315
87,4.14,2.31%,0.0019,0.007684295
88,13.79,27.93%,0.0017,0.01689537
89,19.6,16.33%,0.0036,0.059037552
90,3.09,7.97%,0.0076,0.021612325
91,24.3,20.84%,0.0077,0.148116276
92,6.11,33.57%,0.0043,0.017453154
93,3.7,33.84%,0.0072,0.017625024
94,6.22,34.44%,0.0095,0.038739404
95,13.63,7.72%,0.0074,0.093075454
96,12.63,30.63%,0.0051,0.044683298
97,3.25,16.20%,0.0029,0.00789815
98,21.77,22.74%,0.0021,0.035320954
99,20.72,19.54%,0.0091,0.151708939
100,15.85,35.67%,0.0025,0.025490763
101,10.62,28.65%,0.0006,0.004546422
102,23.62,13.88%,0.0035,0.071195404
103,15.18,9.39%,0.0025,0.034386495
104,3.17,22.62%,0.0097,0.023793576
105,18.99,28.53%,0.0067,0.090933425
106,3.72,16.81%,0.0087,0.026923612
107,23.07,11.95%,0.0059,0.119847497
108,19.76,39.22%,0.005,0.06005064
109,22.17,38.07%,0.0034,0.046681595
110,22.09,2.08%,0.0065,0.140598432
111,2.04,36.63%,0.0027,0.00349042
112,9.04,0.29%,0.0005,0.004506892
113,18.03,17.65%,0.0074,0.109873017
114,19.89,38.91%,0.0025,0.030377003
115,14.7,7.55%,0.003,0.04077045
116,21.6,30.81%,0.0085,0.12703284
117,8.79,24.57%,0.003,0.019890891
118,17.12,3.87%,0.0085,0.139888376
119,11.24,20.44%,0.01,0.08942544
120,24.29,19.87%,0.0053,0.103156958
121,2.53,2.64%,0.0067,0.016503494
122,9.78,10.83%,0.0069,0.060173699
123,9.03,25.08%,0.0014,0.009471386
124,21.77,0.95%,0.0067,0.14447334
125,17.23,9.27%,0.0021,0.032828836
126,21.67,5.05%,0.0083,0.17077802
127,23.71,14.67%,0.0002,0.004046349
128,9.94,32.46%,0.0095,0.063778022
129,23.44,10.84%,0.0079,0.165102922
